strassenschlüssel,strassenname,stadtteilschlüssel,stadtteilname,stadtviertelschlüssel,stadtviertelname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
14,Adlerweg,404,Vogelsang,40402.0,Siedlung Vogelsang,50829,0001,0019,0002,0030
15,Adolf-Fischer-Str.,103,Altstadt/Nord,10303.0,Gereons-Viertel,50670,0003,0003,0002,0016
3870,Adolf-Grimme-Allee,406,Ossendorf,40602.0,GE Ossendorf,50829,0001,0003,0002,0004
6011,Adolf-Kalsbach-Str.,713,Libur, , ,51147,,,0002,0054a
16,Adolf-Kober-Str.,908,Stammheim,90802.0,Siedlung Stammheim-Süd,51061,0001,0021,0002,0062
4010,Adolf-Menzel-Str.,208,Rodenkirchen,20802.0,Künstler-Viertel,50999,0003,0021,0006,0020
4009,Adolph-Kolping-Str.,711,Wahn,71101.0,Wahn,51147,0001,0051,0002,0076
17,Adolphstr.,105,Deutz,10501.0,Deutz,50679,0001,0035,0002,0046
4111,Adrian-Kiels-Str.,702,Westhoven,70202.0,Westhoven,51149,0001,0007,0004,0008
5440,Adrian-Meller-Str.,309,Widdersdorf,30902.0,Alt-Widdersdorf,50859,0003,0011,0002,0010
18,Aduchtstr.,104,Neustadt/Nord,10405.0,Gerichts-Viertel,50668,0001,0011,0002,0012
19,Aegidienberger Str.,302,Sülz,30201.0,Weißhaus-Viertel,50939,0001,0027,0002,0032
3767,Aeltgen-Dünwald-Str.,907,Dünnwald,90706.0,Siedlung Am Donewald,51069,0001,0089,0002,0040
22,Aggerstr.,801,Humboldt/Gremberg,80102.0,Gremberg,51105,0005,0023,0002,0028
4011,Aggerstr. (Lövenich),308,Lövenich,30804.0,Lövenich-West,50859,0001,0035,0002,0030
4012,Aggerweg,703,Ensen,70301.0,Ensen,51149,0001,0017,0002,0016
20,Ägidiusstr.,302,Sülz,30202.0,Sülz,50937,0001,0073,0002,0074
23,Agilolfstr.,102,Neustadt/Süd,10201.0,Südstadt,50678,0001,0005,0002,0006
24,Agrippastr.,101,Altstadt/Süd,10101.0,Kapitol-Viertel,50676,0001,0017,0006,0018
24,Agrippastr.,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0037,0093,0098,0098
25,Agrippinaufer,102,Neustadt/Süd,10201.0,Südstadt,50678,,,0002,0010
26,Agrippinawerft,102,Neustadt/Süd,10201.0,Südstadt,50678,,,0004,0030
4013,Ahornstr.,607,Esch/Auweiler,60702.0,Auweiler,50765,0001,0055,0002,0030
27,Ahornweg,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0001,0029,0004,0010
4014,Ahornweg (Grengel),709,Grengel,70901.0,Alt-Grengel,51147,0001,0037,0002,0044
4014,Ahornweg (Grengel),709,Grengel,70904.0,Neu-Grengel,51147,0039,0063,0050,0074
4017,Ahornweg (Sürth),210,Sürth,21001.0,Sürth,50999,0007,0015,0002,0020
4015,Ahornweg (Widdersdorf),309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0001,0013,0004,0014
3591,Ährenweg,305,Müngersdorf,30503.0,Siedlung Egelspfad,50933,0001,0027,0002,0024
4019,Ahrstr. (Lövenich),308,Lövenich,30804.0,Lövenich-West,50859,0001,0037,0002,0056a
4020,Ahrstr. (Rodenkirchen),208,Rodenkirchen,20803.0,Flußviertel,50996,0001,0013,,
28,Ahrweg,906,Höhenhaus,90603.0,Höhenhaus,51061,0001,0019,0002,0012
29,Ahrweilerstr.,202,Marienburg,20201.0,Marienburg,50968,0001,0003,0002,0012
4022,Akazienstr.,607,Esch/Auweiler,60702.0,Auweiler,50765,0001,0073,0002a,0060
30,Akazienweg,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0001,0157,0056,0068
30,Akazienweg,403,Bickendorf,40304.0,Garten-Siedlung,50827,,,0002,0054b
30,Akazienweg,403,Bickendorf,40305.0,GE Bickendorf,50827,0159,0161,0070,0082
30,Akazienweg,404,Vogelsang,40402.0,Siedlung Vogelsang,50829,0165,0201,,
4023,Akazienweg (Grengel),709,Grengel,70904.0,Neu-Grengel,51147,0001,0071,0002,0082
4025,Akazienweg (Sürth),210,Sürth,21001.0,Sürth,50999,0001,0023,0002,0022
4024,Akazienweg (Widdersdorf),309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0005,0005,0002,0020
31,Akeleiweg,603,Seeberg,60303.0,Siedlung Oranjehof,50769,0001,0003,0002,0002
4027,Akeleiweg (Junkersdorf),306,Junkersdorf,30601.0,Junkersdorf,50858,0003,0021,0002,0022
5819,Aladinstr.,206,Rondorf,20602.0,Hochkirchen,50997,,,0002,0018
32,Alarichstr.,105,Deutz,10502.0,Germanen-Viertel,50679,0001,0089,0004,0056
33,Alban-Berg-Weg,405,Bocklemünd/Mengenich,40504.0,Neu-Bocklemünd,50829,0001,0019,,
34,Alberichhof,502,Mauenheim,50201.0,Nibelungen-Siedlung,50739,0001,0005,0002,0006
4028,Alberichshof,710,Wahnheide,71001.0,Wahnheide,51147,0001,0005,0002,0006
35,Albermannstr.,802,Kalk,80204.0,Kalk-Nord,51103,0001,0045,0002,0060
4030,Albert-Kindle-Str.,307,Weiden,30701.0,Alt-Weiden,50859,0001,0007,0002,0026
4030,Albert-Kindle-Str.,307,Weiden,30703.0,Üsdorf,50859,0007a,0025,0028,0036
36,Albert-Schweitzer-Str.,204,Raderthal,20402.0,Raderthal,50968,0001,0005,0002,0008
4031,Albert-Schweitzer-Str. (Wahn),711,Wahn,71101.0,Wahn,51147,,,0008,0008
4032,Albert-Tobias-Weg,714,Zündorf,71402.0,Zündorf-Süd,51143,0001,0013,0002,0016
37,Albertus-Magnus-Platz,303,Lindenthal,30302.0,Uni-Viertel,50931,,,0000,
38,Albertusstr.,103,Altstadt/Nord,10309.0,Apostel-Viertel,50667,0001,0019,0004,0026
38,Albertusstr.,103,Altstadt/Nord,10303.0,Gereons-Viertel,50667,0045,0055,0040,0052
4033,Albertusweg,209,Weiß,20901.0,Neu-Weiß,50999,0001,0019,0004,0020
6075,Albin-Hänseroth-Weg,309,Widdersdorf,30905.0,Widdersdorf-Süd,50859,0001,0083,0002,0096
5926,Albin-Köbis-Str.,711,Wahn,71101.0,Wahn,51147,0001,0017,0002,0018
39,Albrecht-Dürer-Platz,104,Neustadt/Nord,10407.0,Colonius,50672,0015,0015,,
4034,Albrecht-Dürer-Str.,208,Rodenkirchen,20802.0,Künstler-Viertel,50999,0003,0009,0004,0010
40,Albusweg,907,Dünnwald,90704.0,Siedlung Haan,51069,0001,0023,,
41,Alemannenstr.,105,Deutz,10502.0,Germanen-Viertel,50679,0001,0023,0002,0026
4035,Alemannenstr. (Gremberghoven),704,Gremberghoven,70401.0,Gremberghoven,51149,0007,0009,0010,0012
4036,Alemannenstr. (Rodenkirchen),208,Rodenkirchen,20806.0,Schillingsrott,50996,0001,0007,0002,0010
42,Alexander-Petöfi-Platz,506,Longerich,50603.0,Alt-Longerich,50739,,,0002,0016
43,Alexander-von-Wacker-Platz,601,Merkenich,60103.0,Merkenich,50769,0001,0005,0002,0014
3790,Alexe-Altenkirch-Str.,507,Bilderstöckchen,50704.0,GE Bilderstöckchen,50739,0003,0021,0002,0010
44,Alexianerstr.,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0001,0043,0002,0048
5811,Alfons-Kafka-Str.,714,Zündorf,71402.0,Zündorf-Süd,51143,0003,0013,0002,0030
4038,Alfons-Nowak-Str.,306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0005,,
4039,Alfred-Delp-Str.,703,Ensen,70302.0,Ensen-Ost,51149,0001,0023,0002,0014
45,Alfred-Döblin-Str.,405,Bocklemünd/Mengenich,40504.0,Neu-Bocklemünd,50829,0001,0011,,
6038,Alfred-Moritz-Platz,706,Porz,70601.0,Porz-Mitte,51143,,,,
4040,Alfred-Nobel-Str.,706,Porz,70603.0,Porz-Ost,51145,0001,0057,0002,0034
46,Alfred-Schütte-Allee,105,Deutz, , ,50679,0001,0001,,
46,Alfred-Schütte-Allee,105,Deutz,10504.0,Deutzer Hafen,50679,,,0002,0024
46,Alfred-Schütte-Allee,701,Poll,70104.0,GE Poller Kirchweg,51105,,,0028,0076
46,Alfred-Schütte-Allee,701,Poll,70106.0,Poller Rheinaue,51105,0051,0165,,
46,Alfred-Schütte-Allee,701,Poll,70102.0,Poll,51105,,,0130,0180
47,Alfred-Werner-Str.,909,Flittard,90903.0,Bayer-Siedlung,51061,0001,0023,0002,0004
48,Alfterstr.,205,Zollstock,20501.0,Siedlung Zollstock,50969,0001,0023,0002,0022
49,Allensteiner Str.,504,Niehl,50402.0,Niehl-Süd,50735,0005,0005,,
49,Allensteiner Str.,504,Niehl,50407.0,Ford-Siedlung,50735,,,0008,0008
4042,Allensteiner Str. (Rondorf),206,Rondorf,20603.0,Rondorf-West,50997,0009,0013,0002,0012
50,Allerheiligenstr.,103,Altstadt/Nord,10301.0,Kuniberts-Viertel,50668,0001,0027,0002,0018
51,Allerseelenstr.,701,Poll,70101.0,Rolshoven,51105,0001,0023,0002,0042a
3510,Allerstr.,609,Chorweiler,60902.0,Siedlung Chorweiler-Nord,50765,0001,0001,0002,0024
3860,Aloeweg,806,Merheim,80602.0,Siedlung Madaus,51109,0001,0105,0008,0100
6095,Aloys-Boecker-Str.,712,Lind, , ,51147,,,,
52,Alpenerplatz,401,Ehrenfeld,40101.0,Ehrenfeld-West,50825,0001,0007,0002,0006
53,Alpenerstr.,401,Ehrenfeld,40101.0,Ehrenfeld-West,50825,0001,0037,0002,0034
54,Alpenroder Weg,605,Lindweiler,60501.0,Lindweiler,50767,0001,0027,0002,0036
55,Alpenrosenweg,603,Seeberg,60303.0,Siedlung Oranjehof,50769,0001,0007,0002,0014
3848,Alphons-Silbermann-Weg,303,Lindenthal, , ,50931,,,,
56,Alradstr.,909,Flittard,90901.0,Flittard,51061,0001,0021,0004,0044
57,Alsdorfer Str.,304,Braunsfeld,30401.0,Braunsfeld,50933,0001,0023,0002,0006
58,Alsenstr.,105,Deutz,10501.0,Deutz,50679,0001,0027,0002,0020
59,Alstädter Str.,205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0001,0023,0002,0026
60,Altbaumburgweg,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0011,0011,0002,0058
61,Altdahnweg,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0001,0013,0002,0012
4044,Alte Apotheke,714,Zündorf,71402.0,Zündorf-Süd,51143,0001,0015,0002,0018
6094,Alte Blockstelle,712,Lind, , ,51147,,,,
4045,Alte Brühler Str.,213,Meschenich,21302.0,Kölnberg,50997,,,0008,0012
4045,Alte Brühler Str.,213,Meschenich,21303.0,Neu-Meschenich,50997,0017,0187,0016,0062
4046,Alte Burgstr.,713,Libur, , ,51147,0001,0041a,,
4046,Alte Burgstr.,713,Libur,71301.0,Libur,51147,,,0004,0038
3969,Alte Escher Str.,406,Ossendorf, , ,50829,,,,
4541,Alte Fischenicher Str.,213,Meschenich,21303.0,Neu-Meschenich,50997,0001,0051,0024,0052
4541,Alte Fischenicher Str.,213,Meschenich,21302.0,Kölnberg,50997,,,0002,0002
4047,Alte Forststr.,808,Rath/Heumar,80804.0,Siedlung Röttgen,51107,0005,0055,0002,0004
4048,Alte Gasse,714,Zündorf,71402.0,Zündorf-Süd,51143,0003,0003,,
4048,Alte Gasse,714,Zündorf, , ,51143,0009,0009,,
4049,Alte Heide,710,Wahnheide,71001.0,Wahnheide,51147,0001,0053b,0002,0058
4050,Alte Kirchgasse,210,Sürth,21001.0,Sürth,50999,0001,0023,0002,0046
4990,Alte Klosterstr.,306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0025,0002,0026
4051,Alte Kölner Str.,709,Grengel, , ,51147,,,,
4053,Alte Kölnstr.,213,Meschenich,21301.0,Alt-Meschenich,50997,0001,0035,0002,0076
4054,Alte Magazinstr.,710,Wahnheide,71001.0,Wahnheide,51147,0001,0017,0016,0020
65,Alte Mauer am Bach,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0035,0035,0036,0064
68,Alte Neusser Landstr.,612,Worringen,61203.0,Am Worringer Bruch,50769,0137,0137,,
68,Alte Neusser Landstr.,612,Worringen,61201.0,Alt-Worringen,50769,0139,0299,0170,0310
4058,Alte Rheinstr.,209,Weiß,20902.0,Alt-Weiß,50999,0001,0017,0002,0010
76,Alte Römerstr.,601,Merkenich, , ,50769,0069,0081a,,
76,Alte Römerstr.,601,Merkenich,60101.0,Rheinkassel,50769,0083,0173,0052,0134
4059,Alte Sandkaul,309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0001,0031,0002,0020b
79,Alte Str.,612,Worringen,61204.0,Neu-Worringen,50769,0001,0009c,0002a,0166
79,Alte Str.,612,Worringen,61202.0,GI Worringen,50769,0201,0201,,
4060,Alte Str. (Widdersdorf),309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0001,0047,,
4060,Alte Str. (Widdersdorf),309,Widdersdorf,30902.0,Alt-Widdersdorf,50859,0049,0057,0002,0040
80,Alte Wallgasse,103,Altstadt/Nord,10309.0,Apostel-Viertel,50672,0005,0031,0002,0050
81,Alte Wipperfürther Str.,903,Buchheim,90302.0,Buchheim,51065,0003,0069,0002,0082
62,Alteburger Platz,102,Neustadt/Süd,10201.0,Südstadt,50678,0001,0001,0002,0002
63,Alteburger Str.,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0013,0002,0014
63,Alteburger Str.,102,Neustadt/Süd,10201.0,Südstadt,50678,0015,0127a,0016,0082
63,Alteburger Str.,102,Neustadt/Süd, , ,50678,0129,0129,,
63,Alteburger Str.,201,Bayenthal,20104.0,GE Bayenthal,50968,0139,0179,0138,0174
63,Alteburger Str.,201,Bayenthal,20101.0,Bayenthal,50968,0191,0379,0180,0256
63,Alteburger Str.,201,Bayenthal,20103.0,Wohnpark Bayenthal,50968,,,0268,0338
64,Alteburger Wall,102,Neustadt/Süd,10201.0,Südstadt,50678,0001,0031,0002,0018
66,Altenauer Weg,906,Höhenhaus,90607.0,Berliner Straße,51061,0001,0005,0002,0004
67,Altenberger Str.,103,Altstadt/Nord,10301.0,Kuniberts-Viertel,50668,0001,0041,0012,0022
4055,Altenberger Str. (Eil),705,Eil,70501.0,Eil-Süd,51145,0001,0041,0002,0044
69,Altengrabengäßchen,103,Altstadt/Nord,10308.0,Andreas-Viertel,50668,0001,0019,,
70,Altenhofer Weg,604,Heimersdorf,60402.0,Heimersdorf,50767,0001,0029,0002a,0044
70,Altenhofer Weg,604,Heimersdorf,60403.0,Baum-Siedlung,50767,,,0002,0002
71,Altenhofstr.,406,Ossendorf,40601.0,Ossendorf,50827,0001,0009,0004,0004
73,Alter Deutzer Postweg,805,Ostheim,80504.0,Alter Deutzer Postweg,51107,0001,0077,0002,0022
73,Alter Deutzer Postweg,704,Gremberghoven,70403.0,Airport-Businesspark,51149,0095,0101,0100,0102
73,Alter Deutzer Postweg,808,Rath/Heumar,80803.0,Heumar,51107,0121,0221,,
3963,Alter Friedhofsweg,806,Merheim,80601.0,Merheim,51109,,,,
74,Alter Markt,103,Altstadt/Nord,10305.0,City,50667,0001,0067,,
74,Alter Markt,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,0075,0079,0002,0062
3703,Alter Militärring,305,Müngersdorf,30501.0,Alt-Müngersdorf,50933,0001,0075,0006,0096
75,Alter Mühlenweg,105,Deutz,10503.0,Hafen-Viertel,50679,0011,0069,0002,0064
78,Alter Stammheimer Weg,503,Riehl,50303.0,Zoo-Flora,50735,0001,0001,,
82,Altleiningenweg,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,,,0002,0040
83,Altonaer Platz,506,Longerich,50601.0,Gartenstadt-Nord,50737,,,0002,0016
84,Altonaer Str.,506,Longerich,50601.0,Gartenstadt-Nord,50737,0001,0065,0002,0032
85,Altstr.,901,Mülheim,90103.0,Mülheim,51063,0005,0009,0002,0010
86,Alvenslebenstr.,104,Neustadt/Nord,10405.0,Gerichts-Viertel,50668,0001,0015,0002,0012
87,Alzeyer Str.,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0001,0033,0002,0036
3589,Am Ackerrain,305,Müngersdorf,30503.0,Siedlung Egelspfad,50933,0003,0027,0002,0026
90,Am Alten Brauhaus,601,Merkenich,60102.0,Langel (lrh.),50769,0001,0009,0006,0006
4063,Am Alten Brauhaus (Zündorf),714,Zündorf,71401.0,Zündorf,51143,0001,0015,0002,0018
91,Am Alten Posthof,103,Altstadt/Nord,10304.0,Neumarkt-Viertel,50667,0001,0005,0002,0008
3924,Am Alten Stellwerk,501,Nippes,50106.0,Siedlung Ausbesserungswerk Nippes,50733,0001,0053,0002,0064
92,Am Alten Turm,808,Rath/Heumar,80802.0,Rath,51107,0001,0013,0002,0004
93,Am Alten Ufer,103,Altstadt/Nord,10301.0,Kuniberts-Viertel,50668,0035,0057,0006,0012
4065,Am Alten Weiher,607,Esch/Auweiler,60701.0,Esch,50765,0001,0011,0010,0010
89,Am Altenberger Kreuz,701,Poll,70101.0,Rolshoven,51105,0001,0017,0002,0018
4066,Am Anger,714,Zündorf,71401.0,Zündorf,51143,0001,0021,,
6021,Am Aspelkreuz,309,Widdersdorf,30905.0,Widdersdorf-Süd,50859,0005,0027,0030,0112
3927,Am Ausbesserungswerk,501,Nippes,50106.0,Siedlung Ausbesserungswerk Nippes,50733,,,0002,0040
3920,Am Bachhof,611,Roggendorf/Thenhoven,61101.0,Roggendorf,50769,0001,0005,,
4067,Am Baggerfeld,607,Esch/Auweiler, , ,50767,0001,0001,0010,0010
4068,Am Bahnhof,711,Wahn, , ,51147,0025,0033,0052,0126
95,Am Balsamhof,506,Longerich,50603.0,Alt-Longerich,50739,0001,0005,0002,0020
96,Am Bayenturm,101,Altstadt/Süd,10107.0,Rheinauhafen,50678,,,0002,0002
96,Am Bayenturm,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0005,0009,,
3725,Am Beethovenpark,302,Sülz,30204.0,Kriel,50935,0001,0035,0002,0050
97,Am Bergerhof,612,Worringen,61204.0,Neu-Worringen,50769,0001,0009,0002,0028
4070,Am Bergerhof (Elsdorf),708,Elsdorf,70801.0,Elsdorf,51145,,,0002,0012
4071,Am Berzenacker,714,Zündorf, , ,51143,,,,
99,Am Bilderstöckchen,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0001,0097,0040,0070
4072,Am Bitzenhäuschen,705,Eil,70502.0,Eil,51145,0001,0011,0002,0010
4073,Am Blauen Stein (Ensen),703,Ensen, , ,51149,,,,
4074,Am Blauen Stein (Rondorf),206,Rondorf,20607.0,Rondorf-Ost,50997,0001,0025,0006,0014
4074,Am Blauen Stein (Rondorf),206,Rondorf,20601.0,Rondorf,50997,,,0002,0004b
4074,Am Blauen Stein (Rondorf),206,Rondorf,20601.0,Rondorf,50997,,,0016,0018
100,Am Blutberg,602,Fühlingen, , ,50769,,,,
100,Am Blutberg,610,Blumenberg, , ,50765,,,,
5975,Am Bödinger Hof,206,Rondorf,20603.0,Rondorf-West,50997,0001,0045,0002,0010
101,Am Bollwerk,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,0001,0025,,
4075,Am Börschsgarten,711,Wahn,71101.0,Wahn,51147,,,0002,0028
103,Am Botanischen Garten,503,Riehl,50303.0,Zoo-Flora,50735,0001,0049,0006,0058
103,Am Botanischen Garten,503,Riehl,50301.0,Riehl,50735,0049a,0073,0062,0076
104,Am Bramhoff,904,Holweide,90402.0,Holweide-Ost,51067,0001,0015,0002,0014
5832,Am Braunsacker,607,Esch/Auweiler,60703.0,Krawinkel-Siedlung,50765,0001,0123,0002,0136
105,Am Brunnenbogen,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0001,0015,0002,0016
4077,Am Büllesgarten,711,Wahn,71101.0,Wahn,51147,,,0002,0028
106,Am Burgacker,808,Rath/Heumar,80802.0,Rath,51107,0001,0041,0002,0040
3977,Am Bürgerpark,802,Kalk,80202.0,GE Kalk,51103,,,,
4078,Am Clarenhof,307,Weiden,30703.0,Üsdorf,50859,0001,0023,0002,0018
3811,Am Coloneum,406,Ossendorf,40602.0,GE Ossendorf,50829,0001,0009,0002,0008
5831,Am Courts Garten,714,Zündorf,71401.0,Zündorf,51143,0001,0009,0002,0018
4079,Am Damm,209,Weiß,20901.0,Neu-Weiß,50999,0005,0021,0002,0036
3578,Am Deutzer Stadtgarten,105,Deutz,10503.0,Hafen-Viertel,50679,0001,0001,,
4082,Am Distelkampsgarten,711,Wahn,71101.0,Wahn,51147,,,0002,0014
4083,Am Domenhof,211,Godorf,21101.0,Godorf,50997,0001,0003,0002,0004
107,Am Domhof,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,0001,0001,,
3667,Am Donatushof,608,Volkhoven/Weiler,60801.0,Volkhoven,50765,0003,0017,,
108,Am Donewald,907,Dünnwald,90703.0,Siedlung Klosterhof,51069,0001,0011,0002,0026
4084,Am Dornbusch,709,Grengel,70904.0,Neu-Grengel,51147,,,0002,0006
4085,Am Dreieck,808,Rath/Heumar,80802.0,Rath,51107,0001,0003,0002,0004
109,Am Duffesbach,102,Neustadt/Süd,10202.0,Volksgarten-Viertel,50677,0001,0043,0002,0044
110,Am Eichelberg,604,Heimersdorf,60402.0,Heimersdorf,50767,0001,0023,0002,0078
4086,Am Eichenwäldchen,207,Hahnwald,20701.0,Neu-Hahnwald,50996,0001,0025,0002,0026
5929,Am Eifeltor,206,Rondorf,20605.0,Güterverkehrszentrum Eifeltor,50997,0001,0001,0002,0026
5929,Am Eifeltor,205,Zollstock, , ,50969,,,,
111,Am Emberg,906,Höhenhaus,90604.0,Siedlung Emberg,51061,0001,0039,0002,0034
4087,Am Engeldorfer Berg,213,Meschenich,21301.0,Alt-Meschenich,50997,0007,0029,0002,0026
4088,Am Engelshof,307,Weiden,30703.0,Üsdorf,50859,0001,0015,0002,0018
5833,Am Entenpfuhl,607,Esch/Auweiler,60703.0,Krawinkel-Siedlung,50765,0001,0099,0002,0062
4090,Am Eulengarten,211,Godorf,21101.0,Godorf,50997,0001,0045,0002,0034
112,Am Faulbach,901,Mülheim,90110.0,Böcking-Siedlung,51063,,,,
3608,Am Feldgarten,611,Roggendorf/Thenhoven,61101.0,Roggendorf,50769,0001,0015,0002,0018
113,Am Feldrain,909,Flittard,90901.0,Flittard,51061,0003,0015,0002,0024
4091,Am Feldrain (Sürth),210,Sürth,21003.0,Sürth-Nord,50999,0023,0023,0024,0082
114,Am Feldschlößchen,601,Merkenich,60102.0,Langel (lrh.),50769,,,0020,0032
115,Am Flachsrosterweg,906,Höhenhaus,90607.0,Berliner Straße,51061,0001,0007,,
115,Am Flachsrosterweg,906,Höhenhaus,90601.0,Siedlung Schönrath,51061,,,0002,0072
115,Am Flachsrosterweg,906,Höhenhaus, , ,51061,0033,0035,,
116,Am Fliederbusch,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0001,0031,0002,0040
117,Am Flutgraben,904,Holweide,90403.0,Siedlung Wichheim,51067,0001,0017,0002,0064
4092,Am Frankenhain,306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0061,0002,0062
118,Am Frankenturm,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,0001,0005,,
3615,Am Frohnweiher,612,Worringen,61201.0,Alt-Worringen,50769,0001,0023,0002,0024
4093,Am Fuchsgraben,309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0001,0013,0002,0016
119,Am Gibbelsberg,305,Müngersdorf,30501.0,Alt-Müngersdorf,50933,0001,0005,0004,0014
120,Am Gieselbach,808,Rath/Heumar,80802.0,Rath,51107,0001,0031,0002,0028
